,Sequences,Area,SNR,CNR
0,agility,2164.478,18.564243859655903,3.557198592759709
1,animal,1243.2825,19.85912222482534,4.520169855303122
2,ants1,2330.8121846153845,35.73815541456364,5.290103162504896
3,bag,7632.9598742775615,25.27660761605067,792.5721444283055
4,ball2,171.22665080309338,24.06545821312738,3.5433417167835493
5,ball3,1139.0937382442462,29.07575422513716,2.9008431746209684
6,basketball,6639.764752437574,20.70262477033113,2.7213142332623406
7,birds1,2190.68206855144,34.76478268078981,4.119970264744119
8,birds2,56488.40968749999,23.831202279921257,3.1824399348797017
9,bolt1,3405.0060734693875,19.62756650043149,3.929873169305096
10,book,3607.946448979592,20.55277708698444,3.2137354813187313
11,bubble,10984.979931920949,30.232364072535596,3.5105629435927783
12,butterfly,9254.378579886847,30.909480730661212,5.367774525758322
13,car1,9924.247219215205,19.071956676828755,3.2454903888849294
14,conduction1,784.0,22.69237902071382,2.830864004109464
15,crabs1,5891.880585937501,21.990718321982087,3.597773202159091
16,dinosaur,8383.826000225828,27.605135902346294,3.121547714291988
17,diver,20170.63122191422,26.774800858159892,3.309556603796131
18,drone1,280.76486411426305,23.84394925933172,2.7544729244565826
19,drone_across,949.4180665463465,23.11116028527015,2.794205971859524
20,fernando,23389.374777162695,25.228220424365535,3.0815444879453295
21,fish1,3335.99853683299,21.26708990266514,3.9638827167688566
22,fish2,3883.472039542143,23.05658074331716,3.31372995701255
23,flamingo1,2802.3740689583883,30.188143250996173,3.2466106993682664
24,frisbee,3213.3459287200835,29.084208256498425,5.690566549682852
25,girl,8524.319093333335,22.34257854299905,2.965922342350144
26,graduate,4999.035623638283,30.586532531564224,3.2041002614837946
27,gymnastics1,3614.9358547259785,25.278812920519616,3.7357864304312214
28,gymnastics2,21114.694618055557,20.087660155338828,3.3579793793656676
29,gymnastics3,52853.90067509336,19.12817456111165,3.121003853161915
30,hand,2214.6011867188486,28.569007092968942,2.8646912588699367
31,hand2,987.8202140309157,23.041186662153777,3.2337766530018253
32,handball1,283.2843402824195,22.03866217122945,4.018405827127579
33,handball2,1199.9871104675628,21.31248968523056,4.0628909947826
34,helicopter,10055.146489674104,22.079569388837257,3.756490979267586
35,iceskater1,16411.7801112787,24.08097853950221,2.4114512583818866
36,iceskater2,19579.470694149633,134.60225877484498,2.601579446341805
37,kangaroo,85568.23886907121,18.583378127105856,4.089184978943961
38,lamb,9943.323,16.843890756387783,3.158065741702576
39,leaves,1766.6031746031747,19.698248389744183,4.767992883282802
40,marathon,311.9596118027644,13.799926416467184,3.04826714898655
41,matrix,3820.8087999999993,15.045035417629133,5.350964279532639
42,monkey,7086.858053132046,20.88823804900731,3.3100490389297366
43,motocross1,8849.178911362284,19.04358002126126,4.110723014163107
44,nature,21130.23860897935,27.079688155136378,4.345965247586944
45,polo,4842.155750344939,18.428233341394527,4.042726411754568
46,rabbit,1918.8429738823907,28.54129407499697,4.3149727278573025
47,rabbit2,6661.1032,17.36262649444476,3.6409337301255618
48,rowing,443.7734535829821,19.99412260118919,2.9631859420626174
49,shaking,5701.708012760368,23.273739675887775,3.9042389119306993
50,singer2,21993.29570903879,19.098959083166918,6.2432166832136025
51,singer3,39292.417807820064,14.908096144866866,4.455337363803832
52,snake,136711.2241937065,19.752973034613444,4.797824952089811
53,soccer1,3913.878201790921,19.810326747877443,5.572944909595548
54,soccer2,1166.7971876690103,14.585553730282449,3.0254864535098993
55,soldier,6995.843415248897,29.33201076520378,3.268723326679947
56,surfing,2339.9930555555557,18.859842822919592,3.7369222701906457
57,tennis,3710.575194516079,32.620185256895404,3.4404652925395416
58,tiger,6363.057534246575,25.77713123910308,3.28467888767824
59,wheel,2144.447701205764,19.896913143204227,4.169099707912563
60,wiper,2298.7773410961377,25.722057911487955,4.541965276725554
61,zebrafish1,2946.2682,41.28162349356713,2.340400224090263
